index_date,petr4_observed,petr4_fitted,petr4_predicted,std_error,ci_95_lower,ci_95_upper
2015-01-02,9.359999656677246,,,,,
2015-01-05,8.5600004196167,,,,,
2015-01-06,8.279999732971191,,,,,
2015-01-07,8.670000076293945,,,,,
2015-01-08,9.229999542236328,,,,,
2015-01-09,9.510000228881836,,,,,
2015-01-12,8.84000015258789,8.762488928354582,,,,
2015-01-13,9.09000015258789,8.555205046984096,,,,
2015-01-14,8.90999984741211,9.488055126055245,,,,
2015-01-15,9.3100004196167,9.411557209456367,,,,
2015-01-16,9.4399995803833,9.594843898634014,,,,
2015-01-19,9.170000076293944,8.813575682710717,,,,
2015-01-20,9.3100004196167,9.075549909052627,,,,
2015-01-21,9.899999618530272,9.431024949557788,,,,
2015-01-22,10.229999542236328,10.323091253875873,,,,
2015-01-23,9.979999542236328,10.442864244114155,,,,
2015-01-26,9.829999923706056,9.473456285218074,,,,
2015-01-27,10.140000343322754,9.84017669604226,,,,
2015-01-28,9.109999656677246,10.2690067877821,,,,
2015-01-29,8.670000076293945,9.609501924125345,,,,
2015-01-30,8.300000190734863,8.739387912393193,,,,
2015-02-02,8.789999961853027,7.931254563823584,,,,
2015-02-03,9.970000267028809,8.83719510607123,,,,
2015-02-04,10.020000457763672,9.735369494296018,,,,
2015-02-05,9.829999923706056,10.296188911326452,,,,
2015-02-06,9.119999885559082,9.608994901468435,,,,
2015-02-09,9.399999618530272,9.040769451159496,,,,
2015-02-10,8.90999984741211,9.854478897519893,,,,
2015-02-11,9.079999923706056,9.000961710112138,,,,
2015-02-12,9.449999809265137,9.147695808285336,,,,
2015-02-13,10.029999732971191,9.117927713344015,,,,
2015-02-18,10.039999961853027,9.936281650892719,,,,
2015-02-19,9.710000038146973,10.238800560672699,,,,
2015-02-20,9.640000343322754,9.719562280533383,,,,
2015-02-23,9.5,9.789577877605485,,,,
2015-02-24,9.899999618530272,9.451723053266928,,,,
2015-02-25,9.399999618530272,9.652453593954837,,,,
2015-02-26,9.229999542236328,9.655023124954843,,,,
2015-02-27,9.550000190734863,9.237232288808196,,,,
2015-03-02,9.420000076293944,9.63644059889552,,,,
2015-03-03,9.56999969482422,9.444336890582793,,,,
2015-03-04,9.270000457763672,9.374915271696626,,,,
2015-03-05,9.239999771118164,9.254952748241575,,,,
2015-03-06,9.25,9.362113771252183,,,,
2015-03-09,8.920000076293945,9.26663460538955,,,,
2015-03-10,8.520000457763672,8.924679974758394,,,,
2015-03-11,8.739999771118164,8.410347376416613,,,,
2015-03-12,8.470000267028809,8.70215123247597,,,,
2015-03-13,8.34000015258789,8.468523435786548,,,,
2015-03-16,8.390000343322754,8.361044828588762,,,,
2015-03-17,8.859999656677246,8.329710693939553,,,,
2015-03-18,9.199999809265137,8.71537850452169,,,,
2015-03-19,8.920000076293945,9.184060394805133,,,,
2015-03-20,9.220000267028809,8.877897673905117,,,,
2015-03-23,9.329999923706056,9.276078971532868,,,,
2015-03-24,9.420000076293944,9.430151786142735,,,,
2015-03-25,9.800000190734863,9.282843570878285,,,,
2015-03-26,9.329999923706056,9.749359764967856,,,,
2015-03-27,9.359999656677246,9.44232504866492,,,,
2015-03-30,9.710000038146973,9.401829613144592,,,,
2015-03-31,9.65999984741211,9.731082743413722,,,,
2015-04-01,10.260000228881836,9.715927035054044,,,,
2015-04-02,10.6899995803833,10.02229541294502,,,,
2015-04-06,10.710000038146973,10.76907505388652,,,,
2015-04-07,10.920000076293944,10.735646949586025,,,,
2015-04-08,10.56999969482422,10.972129024411316,,,,
2015-04-09,11.579999923706056,10.761984513555047,,,,
2015-04-10,11.8100004196167,11.550991420756016,,,,
2015-04-13,12.270000457763672,11.741091813547037,,,,
2015-04-14,12.460000038146973,12.399961720256945,,,,
2015-04-15,13.34000015258789,12.387142014741348,,,,
2015-04-16,12.979999542236328,13.671622526803315,,,,
2015-04-17,12.949999809265137,13.074527343997753,,,,
2015-04-20,13.06999969482422,13.180269572121881,,,,
2015-04-22,13.0,13.127329490336047,,,,
2015-04-23,12.869999885559082,12.930068430400768,,,,
2015-04-24,13.220000267028809,13.2514910122151,,,,
2015-04-27,12.520000457763672,13.328122217132853,,,,
2015-04-28,12.770000457763672,12.645080358504872,,,,
2015-04-29,12.81999969482422,12.903355794938527,,,,
2015-04-30,13.0600004196167,12.924744454803623,,,,
2015-05-04,13.789999961853027,13.270757575730357,,,,
2015-05-05,14.43000030517578,13.498204422436553,,,,
2015-05-06,13.789999961853027,14.572569330066273,,,,
2015-05-07,13.65999984741211,13.943065520417893,,,,
2015-05-08,13.510000228881836,13.910118560166548,,,,
2015-05-11,13.770000457763672,13.860822697489194,,,,
2015-05-12,13.729999542236328,13.798477215277773,,,,
2015-05-13,13.979999542236328,13.655422491526593,,,,
2015-05-14,13.899999618530272,13.95531545672327,,,,
2015-05-15,14.039999961853027,13.986288389819993,,,,
2015-05-18,13.699999809265137,14.263870466896831,,,,
2015-05-19,12.890000343322754,13.696752309336363,,,,
2015-05-20,12.84000015258789,13.075181372399358,,,,
2015-05-21,13.479999542236328,12.810880366509995,,,,
2015-05-22,13.06999969482422,13.594473954432198,,,,
2015-05-25,12.829999923706056,13.325870609501582,,,,
2015-05-26,12.390000343322754,12.626508023594095,,,,
2015-05-27,12.539999961853027,12.373046668528074,,,,
2015-05-28,12.649999618530272,12.54703321853867,,,,
2015-05-29,12.329999923706056,12.690594337316154,,,,
2015-06-01,12.359999656677246,12.511758361220185,,,,
2015-06-02,12.880000114440918,12.122738609310883,,,,
