index_date,petr4_observed,petr4_fitted,petr4_predicted,std_error,ci_95_lower,ci_95_upper
2015-01-01,8.71017787760233,,,,,
2015-02-01,9.76521894553739,9.228824871880684,,,,
2015-03-01,9.40874434891045,10.557691459435544,,,,
2015-04-01,11.6876099220285,8.204363909980733,,,,
2015-05-01,13.1273539641037,13.200387803608454,,,,
2015-06-01,13.3010498532161,13.077418553442147,,,,
2015-07-01,11.0638034197144,13.0082444444358,,,,
2015-08-01,9.91277115425552,11.709133800152191,,,,
2015-09-01,7.65525670158298,10.14662249533636,,,,
2015-10-01,6.0660111051389,8.398978525041159,,,,
2015-11-01,7.03213756914399,7.081050488084656,,,,
2015-12-01,7.00353156590557,7.2569987115390635,,,,
2016-01-01,5.15401447147812,6.565756989354446,,,,
2016-02-01,5.2474505839941,5.59866517580015,,,,
2016-03-01,7.94550272607522,4.742532623036173,,,,
2016-04-01,8.89286840412863,10.18071298820508,,,,
2016-05-01,8.93492245459879,8.038706262535335,,,,
2016-06-01,9.96083129352408,9.137579483020772,,,,
2016-07-01,12.5374309153371,9.749991020753367,,,,
2016-08-01,13.7537072892435,12.618079733994875,,,,
2016-09-01,14.0267439784568,13.510679969541895,,,,
2016-10-01,16.0267566615319,13.894862776326844,,,,
2016-11-01,15.3033832735062,15.654725191462814,,,,
2016-12-01,15.042156210537,16.040129663559078,,,,
2017-01-01,15.1541566717273,15.854425450487634,,,,
2017-02-01,15.3548001478498,15.121278958633738,,,,
2017-03-01,14.0543417454941,16.277133332039767,,,,
2017-04-01,12.7704597003617,12.625896361962273,,,,
2017-05-01,13.9130118101024,12.77832022822836,,,,
2017-06-01,12.8294184727664,14.5189994774561,,,,
2017-07-01,13.9625398769678,14.392408190020449,,,,
2017-08-01,14.7071992454611,15.180130073430337,,,,
2017-09-01,15.8989818099535,16.128538275889824,,,,
2017-10-01,15.0561415330639,17.64836810292755,,,,
2017-11-01,14.5850404771568,15.25683159346265,,,,
2017-12-01,16.1178561605197,15.084761272303554,,,,
2018-01-01,19.5202037284571,16.554846410675694,,,,
2018-02-01,21.8458271317988,19.228950992172255,,,,
2018-03-01,21.1055544447237,20.64746193186253,,,,
2018-04-01,22.2271615588938,19.98178062409904,,,,
