index_date,petr4,volume
2015-01-01,0.0,1411604279.50059
2015-02-01,1.0550410679350595,1267544085.55441
2015-03-01,-0.35647459662694025,981349991.645756
2015-04-01,2.2788655731180505,1636413258.32408
2015-05-01,1.4397440420751995,992395007.238804
2015-06-01,0.17369588911240008,879861625.741384
2015-07-01,-2.2372464335016993,1105569612.06413
2015-08-01,-1.1510322654588805,989271355.206557
2015-09-01,-2.25751445267254,1172362029.23572
2015-10-01,-1.58924559644408,1123812146.15316
2015-11-01,0.9661264640050904,973681215.952179
2015-12-01,-0.028606003238420108,1099966022.2349
2016-01-01,-1.8495170944274504,1383913664.2431
2016-02-01,0.09343611251598016,1330219750.25348
2016-03-01,2.69805214208112,1743125283.23604
2016-04-01,0.9473656780534094,796394022.302875
2016-05-01,0.04205405047016164,1094228283.52055
2016-06-01,1.0259088389252895,1151327066.63487
2016-07-01,2.5765996218130205,1243497598.51225
2016-08-01,1.2162763739063998,1103816367.11508
2016-09-01,0.27303668921329916,1041440976.78398
2016-10-01,2.0000126830750986,1074574103.73221
2016-11-01,-0.7233733880256992,1281269954.4085
2016-12-01,-0.2612270629691995,934735184.379978
2017-01-01,0.11200046119030027,660257330.206531
2017-02-01,0.20064347612250089,702793083.423868
2017-03-01,-1.3004584023557015,818512696.913936
2017-04-01,-1.2838820451323993,680120514.73441
2017-05-01,1.1425521097407003,972671351.588562
2017-06-01,-1.0835933373359996,843025424.665088
2017-07-01,1.1331214042013986,769874683.158672
2017-08-01,0.7446593684933003,875673483.385581
2017-09-01,1.1917825644924012,899310171.981535
2017-10-01,-0.8428402768896,761267815.972679
2017-11-01,-0.4711010559071003,738522224.313719
2017-12-01,1.5328156833628999,759675522.173494
2018-01-01,3.402347567937401,958796274.101219
2018-02-01,2.325623403341698,973012130.391307
2018-03-01,-0.7402726870750982,832469369.704222
2018-04-01,1.1216071141701,1077921194.68525
2018-05-01,-2.4480230010161,1900592727.77675
2018-06-01,-2.4748530110681024,1680213000.45942
2018-07-01,3.0477185020957016,1254965809.77405
2018-08-01,0.011645880908599082,1315212336.44385
2018-09-01,1.397911603210499,1160032760.18365
2018-10-01,4.295673088103101,2059878316.04476
2018-11-01,-1.5008549701903,1562992925.22027
2018-12-01,-2.1014674307877,1670753861.82369
2019-01-01,2.6658050356878995,1373426516.63796
2019-02-01,2.7187721805404017,1133848911.21506
2019-03-01,0.19900114653389878,1068673594.36249
2019-04-01,-1.2221250668980979,1447141179.37778
2019-05-01,-0.6981340173444011,1005540316.15543
2019-06-01,0.9800564784927985,919036075.987282
2019-07-01,-0.5292443191481979,915228334.61204
2019-08-01,-0.0658296903870017,1176424767.39225
2019-09-01,1.8197423257832028,1006022540.61768
2019-10-01,0.7747866138018971,952590704.213941
2019-11-01,-1.0596288043162971,1087128010.65247
2019-12-01,1.7082560222928969,961077609.238681
2020-01-01,-1.894792587796097,969514529.011045
2020-02-01,-1.3490886559577007,1110658802.09743
2020-03-01,-12.1691190385785,2511407413.77101
2020-04-01,3.9754365291820015,2415863217.28725
2020-05-01,2.282373702119699,1578724148.73449
2020-06-01,0.12030965373489977,1682274622.38505
2020-07-01,1.8343467492298977,1518422113.53363
2020-08-01,0.15777865612650288,1155854716.73428
2020-09-01,-2.3401319443396,1304288926.84924
2020-10-01,-2.362070868967301,1402963509.68109
2020-11-01,5.638945731749001,1596916613.1899
2020-12-01,3.9686683942210976,1246639373.38494
2021-01-01,-1.4675546214156974,1323726342.23011
2021-02-01,-2.2945309252549997,2324783635.9095
2021-03-01,0.9302804535533973,1798126302.34029
2021-04-01,-0.5636432575640988,1286435269.40236
2021-05-01,2.6329791995145015,1549911289.99572
2021-06-01,1.4274699813295975,1444106572.30727
2021-07-01,-1.240747204585599,1405805213.16424
2021-08-01,0.6960175582889008,1842247571.8607
2021-09-01,0.30159069876440014,1677804049.83105
2021-10-01,-1.5579694166510016,1698574255.29554
2021-11-01,1.611732862576499,1566687863.81191
2021-12-01,-0.4652811319291992,1563110361.1345
2022-01-01,0.0,1551169381.70454
2022-02-01,0.0,1521007703.55357
2022-03-01,0.0,1353680284.61906
2022-04-01,0.0,1515641372.44397
2022-05-01,0.0,1561837920.29179
2022-06-01,0.0,1602184168.77398
2022-07-01,0.0,1819629468.02489
2022-08-01,0.0,1598397277.31346
2022-09-01,0.0,1686694044.40072
2022-10-01,0.0,1566178313.78046
2022-11-01,0.0,1515407298.88915
2022-12-01,0.0,1739724299.17417
