index_date,close,volume,high,low,open
2022-01-01,,520828917.83773893,15.677785114661623,15.216635601585203,15.07975352389918
2022-02-01,,529340736.736496,15.215373665479056,15.343729377783916,15.36114790800564
2022-03-01,,537852555.635253,14.761022978578177,15.364904575174059,15.36114790800564
2022-04-01,,546364374.5340099,13.898963848034855,15.46064376639165,15.36114790800564
2022-05-01,,554876193.4327669,13.135432326322444,15.503891796586885,15.36114790800564
2022-06-01,,563388012.3315239,12.440397257362092,15.584092273184751,15.36114790800564
2022-07-01,,571899831.2302809,11.710384100683703,15.638279164475222,15.36114790800564
2022-08-01,,580411650.1290379,10.893188778017887,15.710778960225978,15.36114790800564
2022-09-01,,588923469.0277948,10.069811883859694,15.770386935575639,15.36114790800564
2022-10-01,,597435287.9265518,9.24209316061,15.839070425604826,15.36114790800564
2022-11-01,,605947106.8253088,8.385790301508205,15.901364983416858,15.36114790800564
2022-12-01,,614458925.7240658,7.493469998430734,15.968157187513071,15.36114790800564
