index_date,abev3_observed,abev3_fitted,abev3_predicted,std_error,ci_95_lower,ci_95_upper
2019-01-02,16.149999618530273,,,,,
2019-01-03,16.329999923706055,,,,,
2019-01-04,16.549999237060547,,,,,
2019-01-07,16.479999542236328,,,,,
2019-01-08,16.149999618530273,,,,,
2019-01-09,16.3799991607666,,,,,
2019-01-10,16.850000381469727,16.663149105297204,,,,
2019-01-11,17.290000915527344,17.13681613142153,,,,
2019-01-14,17.540000915527344,17.303964592819298,,,,
2019-01-15,17.700000762939453,17.279498175088435,,,,
2019-01-16,17.799999237060547,17.9936496322961,,,,
2019-01-17,17.850000381469727,17.859146238735736,,,,
2019-01-18,18.0,18.11055243250327,,,,
2019-01-21,18.0,18.014982570577487,,,,
2019-01-22,17.540000915527344,17.816692397508014,,,,
2019-01-23,17.18000030517578,17.458940626713694,,,,
2019-01-24,17.15999984741211,17.391497345000356,,,,
2019-01-28,17.950000762939453,17.81827248109236,,,,
2019-01-29,17.8700008392334,17.994578774075094,,,,
2019-01-30,17.969999313354492,17.81073486396626,,,,
2019-01-31,17.510000228881836,18.051217337896198,,,,
2019-02-01,18.11000061035156,17.864292460484222,,,,
2019-02-04,18.450000762939453,18.363735831688718,,,,
2019-02-05,18.63999938964844,18.747750361256454,,,,
2019-02-06,18.09000015258789,18.011393417687252,,,,
2019-02-07,18.75,18.487278446694305,,,,
2019-02-08,18.21999931335449,18.603457104800732,,,,
2019-02-11,18.709999084472656,18.551519481821288,,,,
2019-02-12,18.670000076293945,18.974411618143293,,,,
2019-02-13,18.38999938964844,18.305305472753535,,,,
2019-02-14,18.59000015258789,18.219182477973618,,,,
2019-02-15,18.489999771118164,19.113008326733528,,,,
2019-02-18,18.190000534057617,18.463214666986108,,,,
2019-02-19,18.31999969482422,18.503158436906798,,,,
2019-02-20,18.149999618530277,18.020583516898668,,,,
2019-02-21,18.31999969482422,18.15726109363459,,,,
2019-02-22,18.31999969482422,18.39755071911048,,,,
2019-02-25,18.38999938964844,19.017101623148367,,,,
2019-02-26,18.489999771118164,18.371862488967924,,,,
2019-02-27,18.36000061035156,18.26258688915897,,,,
2019-02-28,17.229999542236328,17.993754390415646,,,,
2019-03-01,16.760000228881836,17.129825389920594,,,,
2019-03-06,16.3700008392334,17.10361890043658,,,,
2019-03-07,16.690000534057617,16.46741351966847,,,,
2019-03-08,16.59000015258789,16.48237481680689,,,,
2019-03-11,17.110000610351562,17.251204350354246,,,,
2019-03-12,17.0,17.090311021668263,,,,
2019-03-13,16.899999618530273,17.240285152868314,,,,
2019-03-14,16.65999984741211,16.99465757487976,,,,
2019-03-15,16.760000228881836,16.657878306328964,,,,
2019-03-18,17.309999465942383,16.801843633165724,,,,
2019-03-19,17.190000534057617,16.912582537569374,,,,
2019-03-20,17.0,17.27212053966046,,,,
2019-03-21,16.979999542236328,17.293559025822937,,,,
2019-03-22,16.719999313354492,16.870480536123797,,,,
2019-03-25,16.520000457763672,16.542671996934203,,,,
2019-03-26,16.989999771118164,16.456775586521303,,,,
2019-03-27,16.540000915527344,16.95859602804787,,,,
2019-03-28,16.75,16.77158262270593,,,,
2019-03-29,16.829999923706055,16.866260597359403,,,,
2019-04-01,16.81999969482422,16.8209563559948,,,,
2019-04-02,16.770000457763672,16.696656125408254,,,,
2019-04-03,16.84000015258789,16.85878380562862,,,,
2019-04-04,17.31999969482422,16.92016017401634,,,,
2019-04-05,17.440000534057617,17.53846021763536,,,,
2019-04-08,17.350000381469727,17.03931872884105,,,,
2019-04-09,17.690000534057617,17.71441289056499,,,,
2019-04-10,17.549999237060547,17.518058325214405,,,,
2019-04-11,17.25,17.366821072063065,,,,
2019-04-12,17.059999465942383,17.322772425287493,,,,
2019-04-15,17.420000076293945,16.84601672246092,,,,
2019-04-16,17.530000686645508,17.597196505266716,,,,
2019-04-17,17.049999237060547,17.251443281935785,,,,
2019-04-18,17.079999923706055,17.26734570489982,,,,
2019-04-22,17.5,17.448214341292157,,,,
2019-04-23,17.670000076293945,17.475171506958628,,,,
2019-04-24,17.719999313354492,17.327846197139714,,,,
2019-04-25,18.309999465942383,18.144128211040318,,,,
2019-04-26,18.290000915527344,18.37456971908948,,,,
2019-04-29,18.350000381469727,18.284917529974646,,,,
2019-04-30,18.46999931335449,18.30875590301598,,,,
2019-05-02,17.950000762939453,18.240932069459085,,,,
2019-05-03,17.920000076293945,17.577059766889437,,,,
2019-05-06,18.059999465942383,18.124032933811748,,,,
2019-05-07,17.649999618530273,17.983466561026958,,,,
2019-05-08,17.920000076293945,17.895214816341294,,,,
2019-05-09,17.489999771118164,17.826709164599066,,,,
2019-05-10,17.299999237060547,17.25827303874769,,,,
2019-05-13,17.010000228881836,17.40597553061586,,,,
2019-05-14,16.940000534057617,17.134235651940987,,,,
2019-05-15,16.610000610351562,16.947826486561542,,,,
2019-05-16,16.639999389648438,16.643124107161356,,,,
2019-05-17,16.489999771118164,16.72104434128124,,,,
2019-05-20,16.489999771118164,16.483112127468576,,,,
2019-05-21,17.09000015258789,16.786300801494928,,,,
2019-05-22,17.209999084472656,17.276698948248626,,,,
2019-05-23,17.209999084472656,17.185354507239406,,,,
2019-05-24,17.059999465942383,17.103387430394765,,,,
2019-05-27,17.219999313354492,17.170374760006144,,,,
2019-05-28,17.309999465942383,17.108084200763287,,,,
2019-05-29,17.260000228881836,17.175376849369478,,,,
2019-05-30,17.43000030517578,17.297135589838597,,,,
2019-05-31,17.549999237060547,17.343932880764406,,,,
2019-06-03,17.420000076293945,17.616706743004002,,,,
